epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2586.13,1.0559,0.82682,1.17768,0.9166,0.81758,0.8889,0.59485,1.20451,0.66922,1.2344,0.000655625,0.000655625,0.000655625
43,2648.32,1.04295,0.8089,1.17191,0.90727,0.81498,0.88339,0.58942,1.18494,0.67047,1.22214,0.000636762,0.000636762,0.000636762
44,2711.78,1.04556,0.7916,1.16486,0.90158,0.82364,0.8854,0.58966,1.20834,0.67323,1.22867,0.0006179,0.0006179,0.0006179
45,2774.09,1.04407,0.80705,1.17376,0.89023,0.82743,0.8836,0.59839,1.16157,0.65099,1.21823,0.000599037,0.000599037,0.000599037
46,2835.73,1.02266,0.78813,1.1646,0.9129,0.82514,0.88943,0.58411,1.23566,0.65806,1.24842,0.000580174,0.000580174,0.000580174
47,2897.33,1.02303,0.77729,1.16041,0.91169,0.80903,0.8874,0.58279,1.21182,0.6669,1.2299,0.000561311,0.000561311,0.000561311
48,2958.24,1.03655,0.77898,1.16528,0.90754,0.80964,0.88054,0.58184,1.22535,0.66169,1.23555,0.000542448,0.000542448,0.000542448
49,3018.87,1.0289,0.77287,1.16046,0.91732,0.81536,0.88911,0.58427,1.22979,0.65793,1.24005,0.000523586,0.000523586,0.000523586
50,3078.76,1.01299,0.76477,1.15592,0.89672,0.83833,0.89224,0.59475,1.19558,0.64509,1.22853,0.000504723,0.000504723,0.000504723
51,3139.33,1.01451,0.77596,1.15742,0.92309,0.82324,0.8873,0.59629,1.19065,0.63045,1.22144,0.00048586,0.00048586,0.00048586
52,3199.67,1.01398,0.75667,1.15472,0.91454,0.83296,0.89409,0.59387,1.21686,0.64084,1.22989,0.000466997,0.000466997,0.000466997
53,3260,1.00578,0.7517,1.14838,0.90146,0.84806,0.89737,0.59449,1.22098,0.63738,1.23582,0.000448134,0.000448134,0.000448134
54,3321.7,1.00217,0.74422,1.14617,0.90926,0.83718,0.89823,0.60478,1.18793,0.62285,1.22132,0.000429272,0.000429272,0.000429272
55,3383.82,0.98061,0.73097,1.14017,0.90278,0.84626,0.90069,0.59654,1.21548,0.63123,1.24188,0.000410409,0.000410409,0.000410409
56,3445.85,0.99137,0.73729,1.14524,0.90515,0.83647,0.89735,0.6067,1.17489,0.62263,1.215,0.000391546,0.000391546,0.000391546
57,3508.58,0.98537,0.72702,1.13935,0.91559,0.83705,0.90299,0.61015,1.17812,0.61084,1.21563,0.000372683,0.000372683,0.000372683
58,3570.28,0.97446,0.72236,1.13227,0.91698,0.83692,0.89783,0.60942,1.17961,0.61046,1.21843,0.00035382,0.00035382,0.00035382
59,3632.86,0.97663,0.72331,1.13377,0.92178,0.83505,0.89676,0.60268,1.20624,0.62405,1.23207,0.000334958,0.000334958,0.000334958
60,3694.07,0.98772,0.72836,1.139,0.91936,0.8421,0.89642,0.60657,1.17698,0.60552,1.2155,0.000316095,0.000316095,0.000316095
61,3754.83,0.95575,0.7028,1.12946,0.92697,0.83376,0.89837,0.6096,1.17394,0.60719,1.21182,0.000297232,0.000297232,0.000297232
62,3816.73,0.96602,0.70397,1.12658,0.93279,0.82896,0.89778,0.60668,1.17799,0.60972,1.21907,0.000278369,0.000278369,0.000278369
63,3878.44,0.96232,0.70779,1.12544,0.91983,0.8401,0.90481,0.60398,1.20315,0.60856,1.22015,0.000259506,0.000259506,0.000259506
64,3939.16,0.95742,0.69815,1.12466,0.92059,0.84432,0.90501,0.61205,1.17226,0.59382,1.21028,0.000240644,0.000240644,0.000240644
65,3999.73,0.95376,0.69227,1.12086,0.91633,0.83816,0.90387,0.61168,1.17266,0.59589,1.20869,0.000221781,0.000221781,0.000221781
66,4060.1,0.97488,0.6262,1.1353,0.92034,0.83284,0.90248,0.60488,1.17933,0.60687,1.21421,0.000202918,0.000202918,0.000202918
67,4116.24,0.95686,0.6116,1.12965,0.9208,0.83761,0.90295,0.60905,1.18807,0.60465,1.22423,0.000184055,0.000184055,0.000184055
68,4173.59,0.96188,0.60609,1.1304,0.92355,0.82635,0.89713,0.60891,1.17674,0.59614,1.21648,0.000165192,0.000165192,0.000165192
69,4231.76,0.94937,0.60235,1.1235,0.93709,0.81699,0.89613,0.60534,1.18315,0.60105,1.21469,0.00014633,0.00014633,0.00014633
70,4292.63,0.93971,0.59849,1.1183,0.91136,0.84019,0.89733,0.60499,1.17906,0.60016,1.21718,0.000127467,0.000127467,0.000127467
71,4350.01,0.93223,0.59101,1.11178,0.91473,0.84113,0.90085,0.60893,1.17394,0.59694,1.21588,0.000108604,0.000108604,0.000108604
72,4409.59,0.92199,0.57987,1.11242,0.92407,0.83027,0.90017,0.60891,1.17597,0.59496,1.21507,8.97412e-05,8.97412e-05,8.97412e-05
73,4468.11,0.9269,0.58437,1.11096,0.93245,0.82399,0.89787,0.61204,1.16036,0.59382,1.21085,7.08784e-05,7.08784e-05,7.08784e-05
74,4526,0.91907,0.58064,1.11022,0.93912,0.8206,0.89831,0.60992,1.17383,0.5905,1.21495,5.20156e-05,5.20156e-05,5.20156e-05
75,4581.37,0.91262,0.5773,1.10868,0.93413,0.82466,0.90015,0.60808,1.17514,0.59213,1.21345,3.31528e-05,3.31528e-05,3.31528e-05
